type,entry_time,entry_price,stop_loss,take_profit,orb_high,orb_low,orb_range,position_size,exit_time,exit_price,exit_reason,pnl,symbol,trade_duration,capital_after,cumulative_pnl,running_max,drawdown,symbol_name,category
LONG,2025-07-31 12:25:00-04:00,235.92009816894532,231.3998938964844,244.96010671386713,235.9199981689453,231.3999938964844,4.520004272460909,21,2025-07-31 16:00:00-04:00,231.3998938964844,STOP_LOSS,-94.92428972167923,AMZN,215.0,9805.403940380862,-194.59605961913832,-50.422189477538126,-144.1738701416002,Amazon,stocks
SHORT,2025-07-31 15:50:00-04:00,207.82489694824218,209.4500969482422,204.57489694824218,209.4499969482422,207.8249969482422,1.625,47,2025-07-31 16:05:00-04:00,209.4500969482422,STOP_LOSS,-76.38440000000031,AAPL,15.0,9750.871656567382,-249.1283434326168,-96.35954343261616,-152.76880000000062,Apple,stocks
SHORT,2025-07-31 16:05:00-04:00,231.3998938964844,235.92009816894532,222.35988535156258,235.9199981689453,231.3999938964844,4.520004272460909,21,2025-07-31 16:50:00-04:00,222.35988535156258,TAKE_PROFIT,189.84017944335818,AMZN,45.0,9995.24411982422,-4.755880175780135,-4.755880175780135,0.0,Amazon,stocks
SHORT,2025-08-01 09:50:00-04:00,528.989890234375,535.8000877929687,515.3698951171875,535.7999877929688,528.989990234375,6.80999755859375,14,2025-08-01 17:10:00-04:00,515.3698951171875,TAKE_PROFIT,190.679931640625,MSFT,440.0,9982.453497167971,-17.54650283202909,-17.54650283202909,0.0,Microsoft,stocks
SHORT,2025-08-01 09:50:00-04:00,301.82988657226565,308.7599876953125,287.9700843261719,308.7598876953125,301.8299865722656,6.929901123046875,14,2025-08-01 11:45:00-04:00,308.7599876953125,STOP_LOSS,-97.02141572265555,TSLA,115.0,9707.174618261724,-292.82538173827834,-97.9019830078114,-194.92339873046694,Tesla,stocks
SHORT,2025-08-01 10:00:00-04:00,22863.9999,23095.5001,22400.9999,23095.5,22864.0,231.5,1,2025-08-04 09:50:00-04:00,23095.5001,STOP_LOSS,-231.50020000000222,NQ=F,4310.0,9902.499399999993,-97.50060000000667,133.99959999999555,-231.50020000000222,Nasdaq Futures,futures
SHORT,2025-08-01 10:00:00-04:00,553.47988046875,559.0195091796875,542.401023046875,559.0194091796875,553.47998046875,5.5394287109375,18,2025-08-01 17:15:00-04:00,542.401023046875,TAKE_PROFIT,199.41943359375,QQQ,435.0,10251.776036914063,251.7760369140642,251.7760369140642,0.0,Nasdaq ETF,stocks
SHORT,2025-08-01 10:00:00-04:00,621.3098975585938,626.3401268554687,611.2498389648438,626.3400268554688,621.3099975585938,5.030029296875,16,2025-08-01 17:15:00-04:00,611.2498389648438,TAKE_PROFIT,160.9609375,SPY,435.0,10194.554791015627,194.5547910156265,194.5547910156265,0.0,S&P 500 ETF,stocks
SHORT,2025-08-01 10:00:00-04:00,206.71990122070312,213.5801018310547,192.9999,213.5800018310547,206.72000122070312,6.8600006103515625,14,2025-08-01 17:25:00-04:00,213.5801018310547,STOP_LOSS,-96.04280854492197,AAPL,445.0,9654.82884802246,-345.1711519775388,-96.35954343261616,-248.81160854492262,Apple,stocks
SHORT,2025-08-01 10:00:00-04:00,22865.2499,23095.5001,22404.7499,23095.5,22865.25,230.25,1,2025-08-04 09:50:00-04:00,23095.5001,STOP_LOSS,-230.25020000000222,MNQ=F,4310.0,9905.249399999993,-94.75060000000667,135.49959999999555,-230.25020000000222,Micro Nasdaq,futures
SHORT,2025-08-01 15:50:00+01:00,1.1559693979263306,1.1587142778396606,1.1508796380996704,1.1586142778396606,1.1560693979263306,0.002544879913330078,8682,2025-08-01 21:20:00+01:00,1.1587142778396606,STOP_LOSS,-23.831047407531546,EURUSD=X,330.0,10012.840449222183,12.84044922218342,36.671496629714966,-23.831047407531546,EUR/USD,forex
SHORT,2025-08-01 11:00:00-04:00,216.2699958251953,220.43999562988282,207.9303962158203,220.4398956298828,216.2700958251953,4.1697998046875,23,2025-08-01 17:40:00-04:00,220.43999562988282,STOP_LOSS,-95.90999550781265,AMZN,400.0,9899.334124316407,-100.66587568359279,-4.755880175780135,-95.90999550781265,Amazon,stocks
LONG,2025-08-01 12:00:00-04:00,308.7599876953125,301.82988657226565,322.6197899414062,308.7598876953125,301.8299865722656,6.929901123046875,14,2025-08-01 14:10:00-04:00,301.82988657226565,STOP_LOSS,-97.02141572265555,TSLA,130.0,9610.15320253907,-389.8467974609339,-97.9019830078114,-291.9448144531225,Tesla,stocks
SHORT,2025-08-01 12:20:00-04:00,3394.9999,3406.90000234375,3371.2000953125,3406.89990234375,3395.0,11.89990234375,2,2025-08-01 15:30:00-04:00,3406.90000234375,STOP_LOSS,-23.80020468750081,GC=F,190.0,10038.1997953125,38.19979531249919,62.0,-23.80020468750081,Gold,commodities
SHORT,2025-08-01 12:25:00-04:00,307.72991098632815,308.77008901367185,305.64995493164065,308.7699890136719,307.7300109863281,1.03997802734375,32,2025-08-01 15:30:00-04:00,308.77008901367185,STOP_LOSS,-33.28569687499839,GLD,185.0,9986.468201171878,-13.531798828121737,43.51953125,-57.05133007812174,Gold ETF,commodities
SHORT,2025-08-01 12:50:00-04:00,188.42989267578125,190.82010732421875,183.64986337890625,190.82000732421875,188.42999267578125,2.3900146484375,40,2025-08-01 17:10:00-04:00,183.64986337890625,TAKE_PROFIT,191.201171875,GOOGL,260.0,9947.020913696291,-52.97908630370958,-52.97908630370958,0.0,Google,stocks
LONG,2025-08-01 15:30:00-04:00,3406.90000234375,3394.9999,3430.69980703125,3406.89990234375,3395.0,11.89990234375,2,2025-08-04 09:50:00-04:00,3430.69980703125,TAKE_PROFIT,47.599609375,GC=F,3980.0,10085.7994046875,85.79940468749919,85.79940468749919,0.0,Gold,commodities
LONG,2025-08-01 15:30:00-04:00,308.77008901367185,307.72991098632815,310.85004506835935,308.7699890136719,307.7300109863281,1.03997802734375,32,2025-08-01 17:10:00-04:00,307.72991098632815,STOP_LOSS,-33.28569687499839,GLD,100.0,9953.18250429688,-46.81749570312013,43.51953125,-90.33702695312013,Gold ETF,commodities
LONG,2025-08-01 21:20:00+01:00,1.1587142778396606,1.1559693979263306,1.1638040376663208,1.1586142778396606,1.1560693979263306,0.002544879913330078,8641,2025-08-05 14:50:00+01:00,1.1559693979263306,STOP_LOSS,-23.718507331085014,EURUSD=X,5370.0,9989.121941891099,-10.878058108901595,36.671496629714966,-47.549554738616564,EUR/USD,forex
LONG,2025-08-01 17:40:00-04:00,220.43999562988282,216.2699958251953,228.77959523925782,220.4398956298828,216.2700958251953,4.1697998046875,23,2025-08-01 17:45:00-04:00,216.2699958251953,STOP_LOSS,-95.90999550781265,AMZN,5.0,9803.424128808594,-196.57587119140544,-4.755880175780135,-191.8199910156253,Amazon,stocks
LONG,2025-08-04 09:50:00-04:00,535.27011953125,528.134909765625,549.5401390625,535.27001953125,528.135009765625,7.135009765625,13,2025-08-04 16:40:00-04:00,528.134909765625,STOP_LOSS,-92.75772695312435,MSFT,410.0,9889.695770214847,-110.30422978515344,-17.54650283202909,-92.75772695312435,Microsoft,stocks
LONG,2025-08-04 09:50:00-04:00,23220.0001,23088.7499,23482.5001,23220.0,23088.75,131.25,1,2025-08-05 16:30:00-04:00,23088.7499,STOP_LOSS,-131.25020000000222,MNQ=F,1840.0,9773.999199999991,-226.0008000000089,135.49959999999555,-361.50040000000445,Micro Nasdaq,futures
LONG,2025-08-04 09:50:00-04:00,311.4600914550781,310.6098853515625,313.16010366210935,311.4599914550781,310.6099853515625,0.850006103515625,31,2025-08-04 10:50:00-04:00,310.6098853515625,STOP_LOSS,-26.35638920898282,GLD,60.0,9926.826115087897,-73.17388491210295,43.51953125,-116.69341616210295,Gold ETF,commodities
LONG,2025-08-04 09:50:00-04:00,3436.300148828125,3427.39980234375,3454.100441796875,3436.300048828125,3427.39990234375,8.900146484375,2,2025-08-04 10:45:00-04:00,3427.39980234375,STOP_LOSS,-17.80069296875081,GC=F,55.0,10067.998711718748,67.99871171874838,85.79940468749919,-17.80069296875081,Gold,commodities
LONG,2025-08-04 09:50:00-04:00,23220.2501,23088.7499,23483.2501,23220.25,23088.75,131.5,1,2025-08-05 16:30:00-04:00,23088.7499,STOP_LOSS,-131.50020000000222,NQ=F,1840.0,9770.999199999991,-229.0008000000089,133.99959999999555,-363.00040000000445,Nasdaq Futures,futures
LONG,2025-08-04 09:55:00-04:00,628.5701073242187,625.5799170898438,634.5500877929687,628.5700073242188,625.5800170898438,2.989990234375,16,2025-08-04 16:15:00-04:00,625.5799170898438,STOP_LOSS,-47.8430437499992,SPY,380.0,10146.711747265628,146.7117472656273,194.5547910156265,-47.8430437499992,S&P 500 ETF,stocks
LONG,2025-08-04 09:55:00-04:00,206.1101006103516,204.19490732421875,209.94008718261728,206.1100006103516,204.19500732421875,1.914993286132841,46,2025-08-04 12:20:00-04:00,204.19490732421875,STOP_LOSS,-88.09889116211099,AAPL,145.0,9566.729956860348,-433.2700431396498,-96.35954343261616,-336.91049970703364,Apple,stocks
LONG,2025-08-04 09:55:00-04:00,562.2900780273437,558.9499122070313,568.9700096679687,562.2899780273438,558.9500122070312,3.3399658203125,18,2025-08-05 18:00:00-04:00,558.9499122070313,STOP_LOSS,-60.122984765624096,QQQ,1925.0,10191.653052148438,191.6530521484401,251.7760369140642,-60.122984765624096,Nasdaq ETF,stocks
LONG,2025-08-04 09:55:00-04:00,193.69010244140625,190.1198951171875,200.83011708984375,193.69000244140625,190.1199951171875,3.57000732421875,27,2025-08-04 16:30:00-04:00,190.1198951171875,STOP_LOSS,-96.39559775390643,GOOGL,395.0,9850.625315942385,-149.374684057616,-52.97908630370958,-96.39559775390643,Google,stocks
LONG,2025-08-04 10:00:00-04:00,310.5500877929687,305.5500098632813,320.5498436523437,310.54998779296875,305.55010986328125,4.9998779296875,19,2025-08-04 10:45:00-04:00,305.5500098632813,STOP_LOSS,-95.00148066406155,TSLA,45.0,9515.151721875009,-484.84827812499543,-97.9019830078114,-386.94629511718404,Tesla,stocks
SHORT,2025-08-04 10:10:00-04:00,214.38989938964843,217.3501061035156,208.46988596191412,217.3500061035156,214.38999938964844,2.960006713867159,33,2025-08-04 16:15:00-04:00,217.3501061035156,STOP_LOSS,-97.68682155761647,AMZN,365.0,9705.737307250978,-294.2626927490219,-4.755880175780135,-289.50681257324175,Amazon,stocks
SHORT,2025-08-04 10:45:00-04:00,3427.39980234375,3436.300148828125,3409.599509375,3436.300048828125,3427.39990234375,8.900146484375,2,2025-08-05 10:20:00-04:00,3436.300148828125,STOP_LOSS,-17.80069296875081,GC=F,1415.0,10050.198018749998,50.19801874999757,85.79940468749919,-35.60138593750162,Gold,commodities
SHORT,2025-08-04 10:50:00-04:00,310.6098853515625,311.4600914550781,308.9098731445313,311.4599914550781,310.6099853515625,0.850006103515625,31,2025-08-04 16:45:00-04:00,308.9098731445313,TAKE_PROFIT,52.70037841796875,GLD,355.0,9979.526493505866,-20.4735064941342,43.51953125,-63.9930377441342,Gold ETF,commodities
