symbol,name,category,interval,orb_duration,tp_multiplier,risk_per_trade,total_trades,win_rate,profit_factor,return_pct,max_drawdown,total_pnl
GLD,Gold ETF,commodities,5m,5,0.5,0.02,82,0.8780487804878049,3.3644708181128835,5.053049880371254,-49.22622631835611,505.3049880371273
AAPL,Apple,stocks,5m,5,0.5,0.02,82,0.6829268292682927,0.9731210250602995,-0.588014045898617,-764.3299799682616,-58.80140458986003
MSFT,Microsoft,stocks,5m,5,0.5,0.02,78,0.7051282051282052,1.215417127745435,2.9638030095217616,-339.8773784179557,296.38030095217397
GOOGL,Google,stocks,5m,5,0.5,0.02,83,0.6144578313253012,0.6652684302937856,-10.228209611694474,-1342.6073927978573,-1022.820961169445
AMZN,Amazon,stocks,5m,5,0.5,0.02,80,0.6875,1.0830328936112796,1.6754015035398515,-442.42942259521874,167.54015035398743
TSLA,Tesla,stocks,5m,5,0.5,0.02,79,0.759493670886076,1.6011398639022654,16.224524612549157,-744.1217632079934,1622.452461254913
SPY,S&P 500 ETF,stocks,5m,5,0.5,0.02,89,0.8089887640449438,2.2107428474742026,3.1932054497072206,-31.802926757811747,319.3205449707161
QQQ,Nasdaq ETF,stocks,5m,5,0.5,0.02,85,0.9058823529411765,5.069773266691223,8.834195942382813,-45.003599999999096,883.419594238288
MNQ=F,Micro Nasdaq,futures,5m,15,2.0,0.01,41,0.6097560975609756,2.710355091209376,28.477466999999635,-361.50040000000445,2847.7466999999633
NQ=F,Nasdaq Futures,futures,5m,15,2.0,0.01,37,0.5135135135135135,1.9545857994099696,17.13246299999959,-363.00040000000445,1713.2462999999589
EURUSD=X,EUR/USD,forex,5m,15,2.0,0.01,71,0.5070422535211268,1.2113331776810645,0.9804787220117214,-71.65316581573069,98.04787220116712
GC=F,Gold,commodities,5m,15,2.0,0.01,50,0.6,2.6970277562354923,7.176887097656072,-84.90194648437864,717.6887097656072
GLD,Gold ETF,commodities,5m,15,2.0,0.01,72,0.5416666666666666,2.027864400721371,10.113733140625428,-220.88003198239903,1011.3733140625482
AAPL,Apple,stocks,5m,15,2.0,0.01,76,0.2631578947368421,0.7162503331240295,-11.681065147705159,-1589.1816914550946,-1168.1065147705194
MSFT,Microsoft,stocks,5m,15,2.0,0.01,75,0.32,0.8832347277083031,-3.9606935200189404,-736.9024959960825,-396.06935200190077
GOOGL,Google,stocks,5m,15,2.0,0.01,66,0.21212121212121213,0.49765862333874644,-20.754431460449275,-2670.4919449707113,-2075.443146044928
AMZN,Amazon,stocks,5m,15,2.0,0.01,68,0.3382352941176471,0.9816459835633988,-0.6710808054198424,-987.545516088862,-67.10808054198702
TSLA,Tesla,stocks,5m,15,2.0,0.01,76,0.25,0.6243906678042929,-18.39727499560505,-1944.6279275390282,-1839.7274995604976
SPY,S&P 500 ETF,stocks,5m,15,2.0,0.01,80,0.35,1.093614166596041,1.0663857773443306,-174.9095559570169,106.63857773441418
QQQ,Nasdaq ETF,stocks,5m,15,2.0,0.01,66,0.4696969696969697,1.7913606719058444,10.588346595703205,-261.13172216796147,1058.8346595703442
MNQ=F,Micro Nasdaq,futures,5m,15,2.0,0.02,41,0.6097560975609756,2.710355091209376,28.477466999999635,-361.50040000000445,2847.7466999999633
NQ=F,Nasdaq Futures,futures,5m,15,2.0,0.02,37,0.5135135135135135,1.9545857994099696,17.13246299999959,-363.00040000000445,1713.2462999999589
EURUSD=X,EUR/USD,forex,5m,15,2.0,0.02,71,0.5070422535211268,1.2113331776810645,0.9804787220117214,-71.65316581573069,98.04787220116712
GC=F,Gold,commodities,5m,15,2.0,0.02,50,0.6,2.6970277562354923,7.176887097656072,-84.90194648437864,717.6887097656072
GLD,Gold ETF,commodities,5m,15,2.0,0.02,72,0.5416666666666666,2.027864400721371,10.113733140625428,-220.88003198239903,1011.3733140625482
AAPL,Apple,stocks,5m,15,2.0,0.02,76,0.2631578947368421,0.6789934603725905,-15.12530983618175,-2000.8613076660313,-1512.5309836181752
MSFT,Microsoft,stocks,5m,15,2.0,0.02,75,0.32,0.8488802124334444,-5.492606656249427,-855.5330834472543,-549.2606656249471
GOOGL,Google,stocks,5m,15,2.0,0.02,66,0.21212121212121213,0.46469822211450773,-26.987071151367243,-3342.362831835945,-2698.7071151367254
AMZN,Amazon,stocks,5m,15,2.0,0.02,68,0.3382352941176471,0.866010014808425,-6.129522672363183,-1505.3548146240216,-612.9522672363266
TSLA,Tesla,stocks,5m,15,2.0,0.02,76,0.25,0.6264866594639493,-27.819997363280564,-2978.4039374999493,-2781.999736328055
SPY,S&P 500 ETF,stocks,5m,15,2.0,0.02,80,0.35,1.093614166596041,1.0663857773443306,-174.9095559570169,106.63857773441418
QQQ,Nasdaq ETF,stocks,5m,15,2.0,0.02,66,0.4696969696969697,1.7913606719058444,10.588346595703205,-261.13172216796147,1058.8346595703442
MNQ=F,Micro Nasdaq,futures,5m,15,1.0,0.01,56,0.6964285714285714,2.0802418082751633,18.44246499999961,-380.00140000001556,1844.246499999961
NQ=F,Nasdaq Futures,futures,5m,15,1.0,0.01,56,0.6607142857142857,1.9485837649474143,17.29746099999957,-375.75140000001556,1729.7460999999566
EURUSD=X,EUR/USD,forex,5m,15,1.0,0.01,88,0.6590909090909091,1.4022753228652654,1.4290488767681928,-91.2500647308311,142.90488767681498
GC=F,Gold,commodities,5m,15,1.0,0.01,53,0.6226415094339622,1.4217723638384263,1.7799131171873341,-95.80509296875971,177.9913117187334
GLD,Gold ETF,commodities,5m,15,1.0,0.01,74,0.6486486486486487,1.5480797373391466,4.263733742187906,-98.22642255858727,426.3733742187897
AAPL,Apple,stocks,5m,15,1.0,0.01,77,0.44155844155844154,0.804936184735879,-6.260699919189537,-1129.075978735364,-626.0699919189518
MSFT,Microsoft,stocks,5m,15,1.0,0.01,75,0.48,0.8493024464911935,-4.005917075683064,-721.1328590820167,-400.59170756831907
GOOGL,Google,stocks,5m,15,1.0,0.01,68,0.35294117647058826,0.5261235968487378,-17.26976852416994,-2412.5938907226555,-1726.9768524169945
AMZN,Amazon,stocks,5m,15,1.0,0.01,69,0.43478260869565216,0.7584594165584091,-7.231025828125039,-1222.516401171877,-723.1025828125003
TSLA,Tesla,stocks,5m,15,1.0,0.01,77,0.5064935064935064,0.9949930126773385,-0.17910012988249946,-1310.5709988769381,-17.9100129882475
SPY,S&P 500 ETF,stocks,5m,15,1.0,0.01,83,0.5421686746987951,1.2997388979147804,2.4097669687503913,-124.50640136718562,240.9766968750289
QQQ,Nasdaq ETF,stocks,5m,15,1.0,0.01,75,0.6133333333333333,1.6718962240891007,7.206972008789162,-175.08472177733938,720.6972008789317
MNQ=F,Micro Nasdaq,futures,5m,15,1.0,0.02,56,0.6964285714285714,2.0802418082751633,18.44246499999961,-380.00140000001556,1844.246499999961
NQ=F,Nasdaq Futures,futures,5m,15,1.0,0.02,56,0.6607142857142857,1.9485837649474143,17.29746099999957,-375.75140000001556,1729.7460999999566
EURUSD=X,EUR/USD,forex,5m,15,1.0,0.02,88,0.6590909090909091,1.4022753228652654,1.4290488767681928,-91.2500647308311,142.90488767681498
GC=F,Gold,commodities,5m,15,1.0,0.02,53,0.6226415094339622,1.4217723638384263,1.7799131171873341,-95.80509296875971,177.9913117187334
GLD,Gold ETF,commodities,5m,15,1.0,0.02,74,0.6486486486486487,1.5480797373391466,4.263733742187906,-98.22642255858727,426.3733742187897
AAPL,Apple,stocks,5m,15,1.0,0.02,77,0.44155844155844154,0.8103398528404735,-6.951923103027438,-1259.5813199951228,-695.1923103027409
MSFT,Microsoft,stocks,5m,15,1.0,0.02,75,0.48,0.7927423852437778,-5.9830176933589065,-812.0406889160012,-598.3017693358968
GOOGL,Google,stocks,5m,15,1.0,0.02,68,0.35294117647058826,0.4451338329273126,-25.44874177612304,-3237.623525683594,-2544.8741776123074
AMZN,Amazon,stocks,5m,15,1.0,0.02,69,0.43478260869565216,0.754081180641252,-8.850225249755932,-1536.9312020507894,-885.0225249755883
TSLA,Tesla,stocks,5m,15,1.0,0.02,77,0.5064935064935064,1.0074858805181128,0.42199544824270563,-2185.57390522459,42.199544824268685
SPY,S&P 500 ETF,stocks,5m,15,1.0,0.02,83,0.5421686746987951,1.2997388979147804,2.4097669687503913,-124.50640136718562,240.9766968750289
QQQ,Nasdaq ETF,stocks,5m,15,1.0,0.02,75,0.6133333333333333,1.6718962240891007,7.206972008789162,-175.08472177733938,720.6972008789317
MNQ=F,Micro Nasdaq,futures,5m,15,0.5,0.01,63,0.7936507936507936,1.825764323498677,10.41497399999971,-231.00040000000445,1041.497399999971
NQ=F,Nasdaq Futures,futures,5m,15,0.5,0.01,63,0.8095238095238095,2.1437441252586313,13.058725999999732,-231.50020000000222,1305.8725999999733
EURUSD=X,EUR/USD,forex,5m,15,0.5,0.01,88,0.7954545454545454,1.3434418910119788,0.772815935986564,-47.64974193295919,77.281593598661
GC=F,Gold,commodities,5m,15,0.5,0.01,53,0.7924528301886793,1.7472138957578498,1.7649535585936609,-59.502244140629045,176.4953558593661
GLD,Gold ETF,commodities,5m,15,0.5,0.01,74,0.8108108108108109,1.9976563693085896,3.9481936933595896,-51.46631352538907,394.81936933595824
AAPL,Apple,stocks,5m,15,0.5,0.01,77,0.5844155844155844,0.672508423412338,-8.0545525441895,-983.8944848266685,-805.4552544189561
MSFT,Microsoft,stocks,5m,15,0.5,0.01,76,0.618421052631579,0.7294894851356325,-5.34098741430631,-648.2869571777074,-534.0987414306352
GOOGL,Google,stocks,5m,15,0.5,0.01,70,0.5714285714285714,0.6465992441996238,-8.990480208618209,-1296.0677136474646,-899.0480208618243
AMZN,Amazon,stocks,5m,15,0.5,0.01,69,0.6231884057971014,0.8344401686402576,-3.321713019897452,-874.9885392211937,-332.17130198974564
TSLA,Tesla,stocks,5m,15,0.5,0.01,77,0.7142857142857143,1.2225891232036623,4.838473289306858,-779.9414957763595,483.84732893068417
SPY,S&P 500 ETF,stocks,5m,15,0.5,0.01,83,0.7349397590361446,1.4061386054314688,1.9708415493166285,-124.50640136718562,197.08415493165717
QQQ,Nasdaq ETF,stocks,5m,15,0.5,0.01,76,0.7763157894736842,1.958587385439373,5.625991622558668,-134.32092348632295,562.599162255874
MNQ=F,Micro Nasdaq,futures,5m,15,0.5,0.02,63,0.7936507936507936,1.825764323498677,10.41497399999971,-231.00040000000445,1041.497399999971
NQ=F,Nasdaq Futures,futures,5m,15,0.5,0.02,63,0.8095238095238095,2.1437441252586313,13.058725999999732,-231.50020000000222,1305.8725999999733
EURUSD=X,EUR/USD,forex,5m,15,0.5,0.02,88,0.7954545454545454,1.3434418910119788,0.772815935986564,-47.64974193295919,77.281593598661
GC=F,Gold,commodities,5m,15,0.5,0.02,53,0.7924528301886793,1.7472138957578498,1.7649535585936609,-59.502244140629045,176.4953558593661
GLD,Gold ETF,commodities,5m,15,0.5,0.02,74,0.8108108108108109,1.9976563693085896,3.9481936933595896,-51.46631352538907,394.81936933595824
AAPL,Apple,stocks,5m,15,0.5,0.02,77,0.5844155844155844,0.6544434280301759,-9.770992631469799,-1211.5571060546968,-977.0992631469834
MSFT,Microsoft,stocks,5m,15,0.5,0.02,76,0.618421052631579,0.7049181178614131,-6.312593562743768,-744.482229907199,-631.2593562743846
GOOGL,Google,stocks,5m,15,0.5,0.02,70,0.5714285714285714,0.509853185460197,-16.86125161071792,-1983.46988618165,-1686.125161071787
AMZN,Amazon,stocks,5m,15,0.5,0.02,69,0.6231884057971014,0.7848619952477776,-5.414030950927772,-1117.5091316528365,-541.4030950927737
TSLA,Tesla,stocks,5m,15,0.5,0.02,77,0.7142857142857143,1.1814832622692761,6.5739388029788275,-1463.2346537353387,657.3938802978824
SPY,S&P 500 ETF,stocks,5m,15,0.5,0.02,83,0.7349397590361446,1.4061386054314688,1.9708415493166285,-124.50640136718562,197.08415493165717
QQQ,Nasdaq ETF,stocks,5m,15,0.5,0.02,76,0.7763157894736842,1.958587385439373,5.625991622558668,-134.32092348632295,562.599162255874
MNQ=F,Micro Nasdaq,futures,15m,15,2.0,0.01,34,0.5588235294117647,2.187264869351677,22.427468999999654,-406.75040000000445,2242.7468999999655
NQ=F,Nasdaq Futures,futures,15m,15,2.0,0.01,30,0.4666666666666667,1.6621229051312907,12.879966999999635,-406.50040000000445,1287.9966999999633
EURUSD=X,EUR/USD,forex,15m,15,2.0,0.01,60,0.48333333333333334,1.1683581465471742,0.85560037920779,-88.42941738108776,85.56003792078026
GC=F,Gold,commodities,15m,15,2.0,0.01,39,0.6410256410256411,3.34077260361771,8.117935812499855,-92.20057460937824,811.7935812499854
GLD,Gold ETF,commodities,15m,15,2.0,0.01,61,0.5737704918032787,2.6003148937384823,13.848365351074483,-167.78851235350066,1384.8365351074563
AAPL,Apple,stocks,15m,15,2.0,0.01,65,0.13846153846153847,0.33878218806236454,-25.822975257080188,-2592.18446450197,-2582.297525708018
MSFT,Microsoft,stocks,15m,15,2.0,0.01,57,0.21052631578947367,0.50840617534681,-14.543154902831665,-1446.6479002441063,-1454.3154902831643
GOOGL,Google,stocks,15m,15,2.0,0.01,54,0.2222222222222222,0.5193621820492716,-16.92380734472661,-1933.0409895752039,-1692.380734472662
AMZN,Amazon,stocks,15m,15,2.0,0.01,52,0.3269230769230769,0.8982559595153587,-3.0162202614745,-782.3259376220633,-301.62202614744905
TSLA,Tesla,stocks,15m,15,2.0,0.01,61,0.22950819672131148,0.5363688532095433,-18.339607332030926,-1918.8003714355136,-1833.9607332030869
SPY,S&P 500 ETF,stocks,15m,15,2.0,0.01,66,0.3484848484848485,1.0485342005471858,0.5653509492192097,-353.7519800781106,56.53509492190756
QQQ,Nasdaq ETF,stocks,15m,15,2.0,0.01,56,0.4107142857142857,1.3658652329257657,5.242129705078241,-272.5970923828031,524.2129705078412
MNQ=F,Micro Nasdaq,futures,15m,15,2.0,0.02,34,0.5588235294117647,2.187264869351677,22.427468999999654,-406.75040000000445,2242.7468999999655
NQ=F,Nasdaq Futures,futures,15m,15,2.0,0.02,30,0.4666666666666667,1.6621229051312907,12.879966999999635,-406.50040000000445,1287.9966999999633
EURUSD=X,EUR/USD,forex,15m,15,2.0,0.02,60,0.48333333333333334,1.1683581465471742,0.85560037920779,-88.42941738108776,85.56003792078026
GC=F,Gold,commodities,15m,15,2.0,0.02,39,0.6410256410256411,3.34077260361771,8.117935812499855,-92.20057460937824,811.7935812499854
GLD,Gold ETF,commodities,15m,15,2.0,0.02,61,0.5737704918032787,2.6003148937384823,13.848365351074483,-167.78851235350066,1384.8365351074563
AAPL,Apple,stocks,15m,15,2.0,0.02,65,0.13846153846153847,0.329034982062358,-30.60424583325198,-3003.9213545898615,-3060.424583325206
MSFT,Microsoft,stocks,15m,15,2.0,0.02,57,0.21052631578947367,0.4863484902952725,-16.612175648437148,-1653.5499748046525,-1661.2175648437103
