datetime,symbol,open,high,low,close,volume,vwap,transactions
2024-10-31 11:10:00,MSFT,416.02,416.57,415.9,416.0,14440.0,416.1554,436
2024-10-31 11:15:00,MSFT,416.21,416.25,415.36,415.36,23033.0,415.9231,768
2024-10-31 11:20:00,MSFT,415.24,416.31,415.23,416.31,11339.0,415.8501,356
2024-10-31 11:25:00,MSFT,416.11,416.35,415.75,416.01,22183.0,416.0219,567
2024-10-31 11:30:00,MSFT,416.25,416.57,416.24,416.54,14184.0,416.3961,313
2024-10-31 11:35:00,MSFT,416.36,416.36,416.0,416.11,9664.0,416.1173,345
2024-10-31 11:40:00,MSFT,416.35,417.1,416.2,416.22,14684.0,416.6997,439
2024-10-31 11:45:00,MSFT,416.5,417.11,416.47,417.1,14944.0,416.7974,384
2024-10-31 11:50:00,MSFT,417.1,418.1,417.01,417.01,39251.0,417.6917,969
2024-10-31 11:55:00,MSFT,417.31,418.68,417.0,418.68,26580.0,417.8525,632
2024-10-31 12:00:00,MSFT,416.74,418.7707,413.0,418.0,134356.0,416.6247,5030
2024-10-31 12:05:00,MSFT,417.95,418.02,417.67,418.01,27291.0,417.966,820
2024-10-31 12:10:00,MSFT,417.91,418.0,417.8,417.81,26718.0,417.881,680
2024-10-31 12:15:00,MSFT,417.8,417.9968,417.5,417.78,42369.0,417.7653,740
2024-10-31 12:20:00,MSFT,417.71,419.7,417.71,419.61,92670.0,418.5708,1606
2024-10-31 12:25:00,MSFT,419.6,419.61,418.0443,418.25,44308.0,418.6568,1010
2024-10-31 12:30:00,MSFT,418.26,418.3843,417.6,418.0,39591.0,418.0154,1076
2024-10-31 12:35:00,MSFT,418.025,418.0474,417.5901,417.69,22715.0,417.8877,799
2024-10-31 12:40:00,MSFT,417.75,417.9299,416.9,417.18,49073.0,417.2828,1330
2024-10-31 12:45:00,MSFT,417.32,417.32,416.9,416.9,35944.0,417.0328,834
2024-10-31 12:50:00,MSFT,416.9,417.2,416.5,416.5,60903.0,416.9739,1070
2024-10-31 12:55:00,MSFT,416.42,416.5699,415.85,415.99,59298.0,416.0764,1496
2024-10-31 13:00:00,MSFT,416.0,416.2,415.92,416.0,42425.0,416.1113,973
2024-10-31 13:05:00,MSFT,416.0001,416.2,415.3,415.86,46509.0,415.8779,1386
2024-10-31 13:10:00,MSFT,415.81,417.02,415.81,416.96,59965.0,416.3669,1107
2024-10-31 13:15:00,MSFT,417.0,417.5,416.14,417.5,42334.0,416.7912,1275
2024-10-31 13:20:00,MSFT,417.3,418.0,416.8535,417.9,65726.0,417.6435,1372
2024-10-31 13:25:00,MSFT,417.9,418.0,415.0,415.02,147831.0,416.1928,3643
2024-10-31 13:30:00,MSFT,415.36,416.16,408.24,410.195,3853789.0,412.2073,71428
