symbol,name,category,interval,orb_duration,tp_multiplier,risk_per_trade,total_trades,win_rate,profit_factor,return_pct,max_drawdown,total_pnl,data_points,start,end
META,META,stocks,5m,15,0.5,0.02,255,0.7254901960784313,1.2766612529268384,26.836852000000512,-805.1576999999859,2683.685200000068,40360,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
MSFT,MSFT,stocks,5m,15,2.0,0.02,133,0.42857142857142855,1.6370983603939888,54.1418540000013,-1003.2874999999859,5414.185400000125,40932,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
MSFT,MSFT,stocks,5m,5,0.5,0.02,305,0.8,1.8404060933995243,50.63031300000104,-438.3979999999938,5063.031300000088,40932,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
MSFT,MSFT,stocks,5m,5,0.5,0.01,305,0.8,1.8814358690641353,47.71942100000102,-354.85379999999486,4771.942100000083,40932,2024-08-09 08:00:00+00:00,2025-08-08 23:55:00+00:00
MSFT,MSFT,stocks,15m,15,2.0,0.02,110,0.41818181818181815,1.4925924886348205,37.13493300000093,-791.7503999999735,3713.4933000000924,15612,2024-08-09 08:00:00+00:00,2025-08-09 00:00:00+00:00
MSFT,MSFT,stocks,15m,15,1.0,0.02,188,0.5638297872340425,1.304816443527186,29.600552000001223,-1070.8959999999702,2960.055200000119,15612,2024-08-09 08:00:00+00:00,2025-08-09 00:00:00+00:00
MSFT,MSFT,stocks,15m,15,2.0,0.01,110,0.41818181818181815,1.4272495814293704,25.003917000000804,-561.5331999999773,2500.3917000000783,15612,2024-08-09 08:00:00+00:00,2025-08-09 00:00:00+00:00
NFLX,NFLX,stocks,5m,5,0.5,0.02,579,0.7875647668393783,1.7390807611293952,175.87077619500178,-1329.3331999999937,17587.077619500174,56997,2023-08-10 08:00:00+00:00,2025-08-08 23:40:00+00:00
NFLX,NFLX,stocks,15m,15,0.5,0.02,435,0.7977011494252874,1.7744267573084334,160.10661023000162,-1055.4243999999835,16010.661023000124,23440,2023-08-10 08:00:00+00:00,2025-08-08 23:45:00+00:00
NFLX,NFLX,stocks,5m,5,1.0,0.02,460,0.6065217391304348,1.4488258281146744,154.5131835300021,-2581.281999999974,15451.318353000206,56997,2023-08-10 08:00:00+00:00,2025-08-08 23:40:00+00:00
