Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Symbol
2025-09-16 08:00:00-04:00,328.9888,328.9888,322.5912,326.5,0,0.0,0.0,0.0,VTI
2025-09-16 08:15:00-04:00,326.45,326.5,326.05,326.05,0,0.0,0.0,0.0,VTI
2025-09-16 08:30:00-04:00,326.45,326.59,326.2,326.59,0,0.0,0.0,0.0,VTI
2025-09-16 08:45:00-04:00,326.44,326.59,325.89,326.4,0,0.0,0.0,0.0,VTI
2025-09-16 09:00:00-04:00,326.34,326.4,326.08,326.0801,0,0.0,0.0,0.0,VTI
2025-09-16 09:30:00-04:00,326.30999755859375,326.3999938964844,325.739990234375,325.79998779296875,366774,0.0,0.0,0.0,VTI
2025-09-16 09:45:00-04:00,325.739990234375,325.9200134277344,325.4100036621094,325.55999755859375,262204,0.0,0.0,0.0,VTI
2025-09-16 10:00:00-04:00,325.489990234375,325.489990234375,325.1400146484375,325.29998779296875,234361,0.0,0.0,0.0,VTI
2025-09-16 10:15:00-04:00,325.29998779296875,325.54998779296875,325.2065124511719,325.25,272360,0.0,0.0,0.0,VTI
2025-09-16 10:30:00-04:00,325.25,325.4330139160156,325.1600036621094,325.2099914550781,211210,0.0,0.0,0.0,VTI
2025-09-16 10:45:00-04:00,325.17999267578125,325.3599853515625,325.17999267578125,325.2650146484375,196729,0.0,0.0,0.0,VTI
2025-09-16 11:00:00-04:00,325.2699890136719,325.3900146484375,325.0299987792969,325.2561950683594,127671,0.0,0.0,0.0,VTI
2025-09-16 11:15:00-04:00,325.2449951171875,325.32501220703125,325.07000732421875,325.1000061035156,84516,0.0,0.0,0.0,VTI
2025-09-16 11:30:00-04:00,325.1099853515625,325.1600036621094,324.9200134277344,325.0596923828125,105480,0.0,0.0,0.0,VTI
2025-09-16 11:45:00-04:00,325.05999755859375,325.3399963378906,325.05499267578125,325.215087890625,82355,0.0,0.0,0.0,VTI
2025-09-16 12:00:00-04:00,325.2250061035156,325.3299865722656,325.1600036621094,325.223388671875,80952,0.0,0.0,0.0,VTI
2025-09-16 12:15:00-04:00,325.2200012207031,325.3450012207031,325.2200012207031,325.3099060058594,94238,0.0,0.0,0.0,VTI
2025-09-16 12:30:00-04:00,325.30499267578125,325.32000732421875,325.0899963378906,325.2300109863281,82955,0.0,0.0,0.0,VTI
2025-09-16 12:45:00-04:00,325.2145080566406,325.4200134277344,325.2145080566406,325.3638916015625,147319,0.0,0.0,0.0,VTI
2025-09-16 13:00:00-04:00,325.3599853515625,325.5299987792969,325.3599853515625,325.5199890136719,61664,0.0,0.0,0.0,VTI
2025-09-16 13:15:00-04:00,325.510009765625,325.5899963378906,325.5,325.5138854980469,55932,0.0,0.0,0.0,VTI
2025-09-16 13:30:00-04:00,325.5299987792969,325.5899963378906,325.45001220703125,325.47711181640625,73367,0.0,0.0,0.0,VTI
2025-09-16 13:45:00-04:00,325.4849853515625,325.6000061035156,325.4150085449219,325.5450134277344,67400,0.0,0.0,0.0,VTI
2025-09-16 14:00:00-04:00,325.5400085449219,325.6300048828125,325.4649963378906,325.47918701171875,92658,0.0,0.0,0.0,VTI
2025-09-16 14:15:00-04:00,325.4700012207031,325.5450134277344,325.43499755859375,325.4862976074219,87765,0.0,0.0,0.0,VTI
2025-09-16 14:30:00-04:00,325.5000915527344,325.67999267578125,325.4800109863281,325.6300048828125,67269,0.0,0.0,0.0,VTI
2025-09-16 14:45:00-04:00,325.6449890136719,325.8099060058594,325.6300964355469,325.7349853515625,91481,0.0,0.0,0.0,VTI
2025-09-16 15:00:00-04:00,325.73431396484375,325.7900085449219,325.6400146484375,325.7550048828125,86997,0.0,0.0,0.0,VTI
2025-09-16 15:15:00-04:00,325.7409973144531,325.7699890136719,325.44000244140625,325.489990234375,89641,0.0,0.0,0.0,VTI
2025-09-16 15:30:00-04:00,325.5199890136719,325.57000732421875,325.2955017089844,325.5350036621094,118810,0.0,0.0,0.0,VTI
2025-09-16 15:45:00-04:00,325.5299987792969,325.80999755859375,325.3699951171875,325.42999267578125,291289,0.0,0.0,0.0,VTI
2025-09-16 16:00:00-04:00,325.45,326.04,325.33,326.0,0,0.0,0.0,0.0,VTI
2025-09-16 16:15:00-04:00,325.45,326.04,325.45,326.04,0,0.0,0.0,0.0,VTI
2025-09-16 16:30:00-04:00,326.0,326.04,325.6,325.73,0,0.0,0.0,0.0,VTI
2025-09-16 16:45:00-04:00,325.83,325.83,325.62,325.72,0,0.0,0.0,0.0,VTI
2025-09-16 17:00:00-04:00,325.82,325.82,325.6,325.71,0,0.0,0.0,0.0,VTI
2025-09-16 17:15:00-04:00,325.73,325.73,325.6,325.7299,0,0.0,0.0,0.0,VTI
2025-09-16 17:30:00-04:00,325.73,325.73,325.6,325.6,0,0.0,0.0,0.0,VTI
2025-09-16 17:45:00-04:00,325.6,325.73,325.45,325.55,0,0.0,0.0,0.0,VTI
2025-09-16 18:00:00-04:00,325.73,325.73,325.5,325.56,0,0.0,0.0,0.0,VTI
2025-09-16 18:15:00-04:00,325.73,325.73,325.5,325.69,0,0.0,0.0,0.0,VTI
2025-09-16 18:30:00-04:00,325.7,325.7364,325.5412,325.65,0,0.0,0.0,0.0,VTI
2025-09-16 18:45:00-04:00,325.73,325.86,325.67,325.72,0,0.0,0.0,0.0,VTI
2025-09-16 19:00:00-04:00,325.86,325.86,325.7,325.83,0,0.0,0.0,0.0,VTI
2025-09-16 19:15:00-04:00,325.83,325.86,325.71,325.7933,0,0.0,0.0,0.0,VTI
2025-09-16 19:30:00-04:00,325.79,325.86,325.7,325.86,0,0.0,0.0,0.0,VTI
2025-09-16 19:45:00-04:00,325.86,326.0,325.7,326.0,0,0.0,0.0,0.0,VTI
2025-09-17 04:00:00-04:00,325.49,325.9,325.15,325.76,0,0.0,0.0,0.0,VTI
2025-09-17 04:15:00-04:00,325.63,325.63,325.53,325.56,0,0.0,0.0,0.0,VTI
2025-09-17 04:30:00-04:00,325.56,325.59,325.45,325.5,0,0.0,0.0,0.0,VTI
2025-09-17 04:45:00-04:00,325.5,325.5,325.5,325.5,0,0.0,0.0,0.0,VTI
2025-09-17 05:00:00-04:00,325.5,325.9,325.5,325.9,0,0.0,0.0,0.0,VTI
2025-09-17 05:30:00-04:00,325.84,325.88,325.84,325.88,0,0.0,0.0,0.0,VTI
2025-09-17 06:00:00-04:00,325.88,325.88,325.48,325.51,0,0.0,0.0,0.0,VTI
2025-09-17 06:15:00-04:00,325.46,325.51,325.45,325.51,0,0.0,0.0,0.0,VTI
2025-09-17 06:30:00-04:00,325.4,325.58,325.28,325.4,0,0.0,0.0,0.0,VTI
