Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2025-07-16 12:30:00-04:00,551.9600219726562,552.8499755859375,551.3900146484375,552.5349731445312,255627,0.0,0.0,MA
2025-07-16 13:30:00-04:00,552.3400268554688,553.6799926757812,552.2999877929688,553.1300048828125,136646,0.0,0.0,MA
2025-07-16 14:30:00-04:00,553.1400146484375,554.77001953125,553.0399780273438,554.177490234375,156443,0.0,0.0,MA
2025-07-16 15:30:00-04:00,554.02001953125,555.4400024414062,553.5631103515625,555.3599853515625,299109,0.0,0.0,MA
2025-07-16 16:00:00-04:00,555.52,556.775,548.0,555.2768,0,0.0,0.0,MA
2025-07-16 17:00:00-04:00,554.97,555.35,554.5212,555.11,0,0.0,0.0,MA
2025-07-16 18:00:00-04:00,555.11,555.11,553.55,555.1,0,0.0,0.0,MA
2025-07-16 19:00:00-04:00,555.04,555.14,553.0,555.13,0,0.0,0.0,MA
2025-07-17 04:00:00-04:00,554.72,556.47,554.72,556.13,0,0.0,0.0,MA
2025-07-17 05:00:00-04:00,556.02,556.27,555.13,555.13,0,0.0,0.0,MA
2025-07-17 06:00:00-04:00,555.72,555.72,555.16,555.17,0,0.0,0.0,MA
2025-07-17 07:00:00-04:00,555.17,555.49,553.88,554.23,0,0.0,0.0,MA
2025-07-17 08:00:00-04:00,554.0,560.0,550.0,553.0,0,0.0,0.0,MA
2025-07-17 09:00:00-04:00,553.43,555.52,553.43,554.9,0,0.0,0.0,MA
2025-07-17 09:30:00-04:00,552.97998046875,556.010009765625,550.510009765625,550.8800048828125,551425,0.0,0.0,MA
2025-07-17 10:30:00-04:00,551.10498046875,553.6599731445312,550.8300170898438,553.219970703125,245298,0.0,0.0,MA
2025-07-17 11:30:00-04:00,553.219970703125,554.5499877929688,552.5800170898438,553.3699951171875,289236,0.0,0.0,MA
2025-07-17 12:30:00-04:00,553.2100219726562,554.128173828125,552.5,553.8400268554688,155130,0.0,0.0,MA
2025-07-17 13:30:00-04:00,553.9450073242188,554.780029296875,553.4400024414062,554.155029296875,171811,0.0,0.0,MA
2025-07-17 14:30:00-04:00,554.2150268554688,557.35498046875,553.77001953125,556.510009765625,266587,0.0,0.0,MA
2025-07-17 15:30:00-04:00,556.75,557.3800048828125,555.5,555.7899780273438,361342,0.0,0.0,MA
2025-07-17 16:00:00-04:00,555.61,556.101,552.0,555.61,0,0.0,0.0,MA
